ID,Date,Newspaper,Quote,Casue,Cause_Normalized,Effect,Effect_Normalized,Relation,Stance,URL
A01,1905-02-24,The Colfax gazette,It is recognized by all students of the subject that a very large share of juvenile crime is due to absolute disregard of parental duty.,disregard of parental duty,Parental Neglect,Juvenile Crime,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn88085460/1905-02-24/ed-1/?sp=4&q=juvenile+crime+parental+neglect&r=0.096,0.292,0.161,0.095,0"
A02,1908-04-02,Springfield weekly Republican,"The society is now mainly concerned with the results of parental neglect, due to shiftlessness.",shiftlessness,Shiftlessness,Parental Neglect,Parental Neglect,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83020847/1908-04-02/ed-1/?sp=3&q=parental+neglect+due+to&r=0.779,0.802,0.199,0.118,0"
A03,1911-10-09,Evening star,Nearly every case of juvenile delinquency is caused by lack of proper food.,lack of proper food,Poverty,Juvenile Delinquent,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045462/1911-10-09/ed-1/?sp=6&q=juvenile+delinquency+caused+by&r=0.064,0.305,0.238,0.141,0"
A04,1912-02-22,Iron County register,The juvenile delinquent is the logical and inevitable effect of parental delinquency.,parental delinquency,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn84024283/1912-02-22/ed-1/?sp=8&q=juvenile+delinquency+parental+neglect&r=0.013,0.376,0.272,0.161,0"
A05,1912-12-23,Evening journal,Parental neglect and inefficiency are frequently the causes of much of the juvenile delinquency.,parental neglect and inefficiency,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn85042354/1912-12-23/ed-1/?sp=7&q=parental+duty+juvenile+crime&r=0.116,0.623,0.501,0.281,0"
A06,1916-06-19,The day book,Fully 90 percent of delinquent girl cases that come into the juvenile court presided over by Judge Mary M. Bartelme are caused by parental neglect.,parental neglect,Parental Neglect,Delinquent Girl Cases,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045487/1916-06-19/ed-1/?sp=12&q=juvenile+delinquency+caused+by&r=-0.081,0.162,0.816,0.483,0"
A07,1920-03-06,Richmond times-dispatch,Chanlains of prisons showed most juvenile delinquency was caused by moving picutres.,moving pictures,Moving Pictures,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045389/1920-03-06/ed-1/?sp=8&q=juvenile+delinquency+caused+by&r=0.141,0.714,0.268,0.158,0"
A08,1921-10-06,Wood County reporter,Judge Backus attributed many cases of juvenile delinquency to parental neglect.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn85033078/1921-10-06/ed-1/?sp=1&q=juvenile+delinquency+parental+neglect&r=0.419,0.452,0.193,0.114,0"
A09,1928-04-05,Springfield weekly Republican,The report deals promptly with the familiar fallacy that parental neglect is an all-inclusive cause of juvenile delinquency.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,MIXED_CAUSATION,SUPPORT,"https://www.loc.gov/resource/sn83020847/1928-04-05/ed-1/?sp=2&q=juvenile+crime+parental+neglect&r=0.481,0.425,0.201,0.119,0"
A10,1933-01-04,Smyrna times,The economic uncertainty and lack of control in broken homes are very frequent factors of juvenile delinquency.,broken homes,Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn84020422/1933-01-04/ed-1/?sp=6&q=broken+homes+leads+to+juvenile+delinquency&r=0.165,0.73,0.213,0.126,0"
A11,1939-06-23,The Waterbury Democrat,"""I found that one of the outstanding causes of juvenile crime is parental neglect,"" said Judge Bicek, himself a father.",lack of control in broken homes,Broken Homes,Juvenile Crime,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn82014085/1939-06-23/ed-1/?sp=6&q=juvenile+crime+parental&r=0.094,0.229,0.497,0.294,0"
A12,1943-08-07,The Michigan Chronicle,What I'm trying to say is that juvenile delinquency is caused by neglect in the home.,neglect in home,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045324/1943-08-07/ed-1/?sp=22&q=juvenile+delinquency+caused+by&r=0.042,1.264,0.139,0.082,0"
A13,1943-11-26,The Washington daily news,There was a marked upswing in juvenile delinquency due to parental neglect.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn82016181/1943-11-26/ed-1/?sp=9&q=parental+neglect&r=0.017,0.051,0.48,0.284,0"
A14,1944-01-24,Evening star,Lack of parental supervision is the cause for the alarming rise in juvenile delinquency in Washington.,lack of parental supervision,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045462/1944-01-24/ed-1/?sp=4&q=lack+of+parental+supervision&r=0.082,0.631,0.32,0.189,0"
A15,1944-01-25,The Washington daily news,Dr.Stanley W. Geshell who blamed juvenile delinqeuncy on lack of parental guidance.,lack of parental guidance,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,https://www.loc.gov/resource/sn82016181/1944-01-25/ed-1/?sp=5&q=lack+of+parental
A16,1944-02-28,The Waterbury Democrat,"William Cardinal O'Connell believes that juvenile delinquency is not only the result of parental neglect but is part of ""a determined and carefully planned campaign"".",parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CONTRIBUTES_TO,SUPPORT,"https://www.loc.gov/resource/sn82014085/1944-02-18/ed-1/?sp=1&q=juvenile+delinquency+parental+neglect&r=0.721,0.709,0.201,0.119,0"
A17,1944-03-06,The Nome nugget,Numerous cases come before the Welfare Board that have arisen out of parental neglect due to wartime conditions.,wartime conditions,Wartime Conditions,Parental Neglect,Parental Neglect,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn84020662/1944-03-06/ed-1/?sp=2&q=parental+neglect+due+to&r=0.108,0.061,0.579,0.343,0"
A18,1944-04-05,Springfield weekly Republican,"They agreed that the chief factor in juvenile delinquency was ""parental neglect"".",parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83020847/1944-05-04/ed-1/?sp=2&q=juvenile+delinquency+parental+neglect&r=0.358,0.472,0.208,0.123,0"
A19,1944-06-30,Evening star,He emphasized that juvenile delinquency is a symptom of parental neglect.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045462/1944-06-30/ed-1/?sp=22&q=parental+neglect&r=0.018,0.493,0.222,0.131,0"
A20,1944-11-03,Detroit evening times,It has been the cause of much juvenile delinquency because of neglect by drinking mothers.,neglect by drinking mothers,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn88063294/1944-11-03/ed-1/?sp=16&q=juvenile+delinquency+neglect&r=-0.006,0.741,0.394,0.233,0"
A21,1945-01-01,Detroit evening times,"Declaring that juvenile delinquency was due to ""parental or adult indifference"".",parental or adult indiffernece,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn88063294/1945-01-01/ed-1/?sp=2&q=juvenile+delinquency+due+to&r=0.009,0.823,0.206,0.122,0"
A22,1945-05-02,The Waterbury Democrat,They are youngsters who drift into juvenile delinquency because of broken homes.,broken homes,Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn82014085/1945-05-02/ed-1/?sp=2&q=juvenile+delinquency+because+of+broken+homes&r=-0.002,0.722,0.308,0.182,0"
A23,1945-08-05,Detroit evening times,Broken homes are the major cause of juvenile delinquency.,broken homes,Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn88063294/1945-08-05/ed-1/?sp=16&q=broken+homes+juvenile+delinquency&r=-0.017,0.503,0.427,0.253,0"
A24,1946-02-01,Peninsula enterprise,One of the major causes of juvenile delinquency is parental neglect of religious training!,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn94060041/1946-02-01/ed-1/?sp=11&q=juvenile+delinquency+neglect&r=0.118,0.579,0.51,0.302,0"
A25,1946-05-09,Gadsden County times,Juvenile delinquency is usually the result of parental neglect and it is an adult responsibility.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn95047334/1946-05-09/ed-1/?sp=11&q=juvenile+delinquency+parental+neglect&r=0.505,0.175,0.218,0.129,0"
A26,1947-01-16,California eagle,Parental neglect and increased temptations are playing a great part in filling our penal institutions with juvenile delinquents.,parental neglect and increased temptations,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn82016196/1947-01-16/ed-1/?sp=13&q=juvenile+delinquency+parental+neglect&r=0.121,1.075,0.386,0.228,0"
A27,1947-04-11,The Chronicle-star combined with Moss Point advertiser,Parental neglect and lack of parental interest is the greatest factor contributing to juvenile delinquency.,parental neglect and lack of parental interest,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn87065528/1947-04-11/ed-1/?sp=12&q=juvenile+delinquency+parental+neglect&r=0.324,0.178,0.336,0.199,0"
A28,1947-07-12,The Chicago star,"Superior Judge Edwin A. Robinson asserted his belief that divorce, broken homes leads to juvenile delinquency.","divorce, broken homes",Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn87062321/1947-07-12/ed-1/?sp=12&q=broken+homes+juvenile+delinquency&r=0.32,0.949,0.5,0.296,0"
A29,1952-11-25,The frontiersman,A sorry tale of parental neglect leading to juvenile delinquency was revealed under questioning in Commissioner's Court.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn84006943/1952-09-25/ed-1/?sp=9&q=parental+neglect+juvenile&r=0.006,0.086,0.305,0.18,0"
A30,1953-03-12,Evening star,"Poverty leads to crime, juvenile delinquency.",poverty,Poverty,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045462/1953-03-12/ed-1/?sp=1&q=poverty+leads+to+juvenile+delinquency&r=0.419,0.61,0.464,0.275,0"
A31,1954-01-29,The Catholic times,To those who blame much of the current wave of juvenile delinquency on comic books.,comic books,Comic Books,Juvenile Delinquency,Juvenile Delinquency,ATTRIBUTED_TO,SUPPORT,"https://www.loc.gov/resource/sn83007243/1954-01-29/ed-1/?sp=12&q=juvenile+delinquency+comic&r=0.19,0.507,0.358,0.212,0"
A32,1954-09-23,The Herald-news,Who think that certain comic megazines cause juvenile delinquency.,comic megazines,Comic Books,Juvenile Delinquency,Juvenile Delinquency,ATTRIBUTED_TO,SUPPORT,"https://www.loc.gov/resource/sn86075271/1954-09-23/ed-1/?sp=7&q=comic+juvenile+delinquency&r=0.452,0.087,0.278,0.165,0"
A33,1955-07-23,The key West citizen,"We hear much about juvenile delinquency, caused by mothers goint out to work.",mothers going to work,Working mothers,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83016244/1955-07-23/ed-1/?sp=4&q=juvenile+delinquency+caused+by&r=0.013,0.577,0.332,0.196,0"
A34,1955-09-08,Gadsden County times,Juvenile Delinquency Due To Parental Laxity,parental laxity,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn95047334/1955-09-08/ed-1/?sp=16&q=juvenile+delinquency+due+to&r=0.01,0.082,0.435,0.257,0"
A35,1956-05-03,The frontier,A court has found that parental delinquency(usually neglect) has contributed to juvenile delinquency.,parental delinquency(usually neglect),Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CONTRIBUTES_TO,SUPPORT,"https://www.loc.gov/resource/2010270509/1956-05-03/ed-1/?sp=2&q=juvenile+delinquency+parental+neglect&r=0.026,0.758,0.249,0.147,0"
A36,1957-05-26,Evening star,"While a number of factors underlie the juvenile delinquency problem now confronting us, none is of greater importance than parental neglect.",parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045462/1957-05-26/ed-1/?sp=35&q=juvenile+delinquency+parental+neglect&r=0.033,0.751,0.211,0.125,0"
A37,1957-06-13,The Brooksville journal,The continued rise in juvenile delinquency both locally and nation-wide can be attributed mainly to parental neglect.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn95047246/1957-06-13/ed-1/?sp=4&q=juvenile+delinquency+caused+by&r=0.357,0.824,0.452,0.268,0"
A38a,1957-08-09,Milford chornicle,Working mothers and broken homes contribute to juvenile delinquency.,working mothers and broken homes,Working mothers,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn87062224/1957-08-09/ed-1/?sp=22&q=broken+homes+juvenile+delinquency&r=0.08,0.099,0.339,0.201,0"
A38b,1957-08-09,Milford chornicle,Working mothers and broken homes contribute to juvenile delinquency.,working mothers and broken homes,Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn87062224/1957-08-09/ed-1/?sp=22&q=broken+homes+juvenile+delinquency&r=0.08,0.099,0.339,0.201,1"
A39,1958-01-02,The Brooksville journal,The Juvenile Court Counselor strongly asserted that 80 percent or more of juvenile delinquency is caused by parental neglect or parental delinquency.,parental neglect and parental delinquency,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn95047246/1958-01-02/ed-1/?sp=1&q=parental+neglect+juvenile&r=0.23,0.979,0.309,0.183,0"
A40,1959-09-22,The key West citizen,"J.Edgar Hoover, director of the Federal Bureau of investigation, stated openly that for the most part juvenile delinquency was caused by broken homes.",broken homes,Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83016244/1959-09-22/ed-1/?sp=6&q=juvenile+delinquency+caused+by&r=-0.05,0.26,0.468,0.277,0"